Emp Code,Empname,Present,Absent,Half Day,Short Present,Missed Punch,No Punch,HHD,01-07-2026,02-07-2026,03-07-2026,04-07-2026,05-07-2026,06-07-2026,07-07-2026,08-07-2026,09-07-2026,10-07-2026,11-07-2026,12-07-2026,13-07-2026,14-07-2026,15-07-2026,16-07-2026,17-07-2026,18-07-2026,19-07-2026,20-07-2026,21-07-2026,22-07-2026,23-07-2026,24-07-2026,25-07-2026,26-07-2026,27-07-2026,28-07-2026,29-07-2026,30-07-2026,31-07-2026
3,Anvesha Gupta,12,4,2,2,5,5,1,HD,A,MP,SP,P,NP,P,MP,SP,P,NP,P,P,P,MP,A,MP,HHD,HD,A,P,P,NP,MP,P,P,NP,P,P,A,NP
11,Chirag Dhingra,19,2,2,3,5,0,0,P,P,A,P,SP,P,A,MP,P,P,P,P,MP,HD,P,P,P,P,P,P,P,HD,SP,MP,MP,P,P,MP,SP,P,P
20,Rajendra Kumar,22,0,2,3,1,3,0,P,P,HD,P,MP,P,P,P,P,P,P,NP,SP,P,SP,P,NP,HD,NP,P,P,P,P,P,P,P,SP,P,P,P,P
200,Lalit Singh Chilwal,21,3,2,4,1,0,0,P,HD,P,P,MP,A,HD,P,P,SP,P,SP,P,P,SP,P,A,P,P,P,P,P,P,P,P,P,P,P,SP,A,P
260,Shruti Singhal,18,2,3,2,1,2,3,P,P,P,MP,P,P,HD,SP,P,P,A,P,P,P,P,HHD,P,P,NP,P,HHD,P,NP,HD,SP,P,HHD,P,A,HD,P
324,Priyaranjan,16,3,4,3,4,0,1,P,HD,MP,MP,P,P,MP,HD,P,P,MP,SP,P,HD,A,P,P,HD,P,P,P,P,A,P,SP,HHD,A,P,P,P,SP
360,Suraj Singhal,21,1,1,3,3,2,0,SP,P,MP,A,P,P,P,P,NP,SP,P,P,P,P,MP,NP,P,MP,P,P,P,P,P,P,P,P,HD,SP,P,P,P
567,Saumya Singh,21,2,3,3,0,2,0,P,P,A,NP,P,HD,SP,P,P,P,P,SP,P,P,P,P,P,P,P,HD,HD,A,P,SP,P,NP,P,P,P,P,P
586,Shruti Chabbra,17,4,1,1,5,3,0,NP,MP,MP,MP,P,A,NP,P,P,P,P,P,A,P,P,SP,A,P,NP,P,MP,P,P,P,P,HD,P,P,P,A,MP
746,Isha rawat,23,1,1,4,1,0,1,P,P,SP,P,P,P,P,P,P,P,P,P,SP,P,HHD,SP,P,P,A,P,P,P,P,HD,MP,P,P,P,SP,P,P
